,Date,User,Text
10,6:15AM,Sandman6472,"72 is pretty chilly to be honest. Our newer York unit is downright cold when it's set at 78 so we keep it at 79 and it's comfortable. It has a SEER rating of 17 which we were told was very good and our FPL bill since we got it has been very reasonable.
2015 Audi A3 (wife) / 2015 Golf TSI (me) / 2019 Chevrolet Cruze Premier RS (daughter #1) / 2020 Hyundai Accent SE (daughter #2)"
11,6:45AM,ab348,"The ATS is at the dealer this morning for regular service and much to my surprise when I got there, they told me the complimentary Cadillac maintenance is still valid for another year. I know that when I bought the car that the salesman told me Caddy had downgraded the free maintenance from 4 years to 3, so either they made a mistake on my file or Caddy changed the program and didn't tell me. Whatever, that also meant I got a loaner/rental from them, which I wasn't counting on today. Since I didn't know I was entitled to one I didn't ask for a reservation when I made the appointment last week. When I do that they always have a Cadillac of some sort to give me for the day but today I got a Buck Encore GX since I was at their mercy.

I always sort of looked down on the Encore because its styling makes it look tall and stubby. I guess it truly is that, but I have to say I am reasonably impressed with how it drives. The little 1.3L Turbo engine has lots of zip off the line though it runs out of breath pretty quickly when you put your foot down on the highway. Nice room up front and in the cargo bay too, though the rear seat looks a bit tight. I think I'll take it out for a short trip to the grocery store later, its natural environment.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
12,7:06AM,jmonroe1,"driver100 said:
Mike, hoping for the best possible outcome.
show previous quotes












.....and who are we talking about? Afraid of higher wattage light bulbs or turning the heat up or a/c down. And what does that have to do with buying an E-Car?

You can't be talking about me....I am converting light bulbs to strong LEDs as they burn out, the temperature is set to 74F.....if I can't be in Florida this winter, and in the summer the thermostat was set at 72F which was fine......no fear
My, my, aren’t we paranoid. I wasn’t talking about you. I was talking about people who are afraid to live life because of the fear they aren’t being environmentally conscious. I’m not advocating being wasteful but do what you want to do if you can afford it. Like buying a car, I’ve never bought a car because it gave good gas mileage. Everything else came before that. Maybe that’s because I don’t drive 25K miles a year.

jmonroe"
13,7:20AM,driver100,"jmonroe1 said:
show previous quotes














My, my, aren’t we paranoid. I wasn’t talking about you. I was talking about people who are afraid to live life because of the fear they aren’t being environmentally conscious. I’m not advocating being wasteful but do what you want to do if you can afford it. Like buying a car, I’ve never bought a car because it gave good gas mileage. Everything else came before that. Maybe that’s because I don’t drive 25K miles a year.

jmonroe
In that case I guess I will have to agree with you....might be the first and last time.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
14,7:21AM,qbrozen,"driver100 said:
The complete story about the Nissan Leaf is here...plus a 2 minute video. And he did try a few dealers and some indie garages.
https://www.cbc.ca/news/business/nissan-leaf-electric-vehicle-new-battery-1.5769998
Must be a Canadian problem. Seem to be plenty of choices in the US.
'07 ML63, '08 Charger R/T Daytona; '67 Coronet R/T; '14 Town&Country Limited; '18 BMW X2. 52-car history and counting!"
15,7:29AM,driver100,"ab348 said:

I always sort of looked down on the Encore because its styling makes it look tall and stubby.
That's what gets me.........it is tall and narrow, doesn't look like it will stay on the road around a sharp bend. I sometimes have the radio or TV on in my office and when they have an Encore commercial they ask ""Alexa, start my car"" or something, and my Alexa comes on and says something like ""I am not able to do that"". It is very annoying!

OTOH, I like the one when she gets a text the Jones's are coming for dinner, she goes and buys four steaks to make for dinner, then she rushes to the door to find out it is only to babysit their kids, and the little girl says ""Where's the pizza"" At least it was cute the first 50 times I saw it.

2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
16,7:32AM,driver100,"qbrozen said:
show previous quotes

Must be a Canadian problem. Seem to be plenty of choices in the US.
Very possible. Canada has only 10% of the population and they probably sell many more in proportion in the U.S., because of some states like California. It probably isn't practical to make or ship cheap batteries to Canada for the number of cars affected. Maybe he could try a wreckers.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
17,7:39AM,jmonroe1,"driver100 said:
show previous quotes
















In that case I guess I will have to agree with you....might be the first and last time.
So, what you’re saying is, that you don’t want to be right more than once in your life. That’s not being paranoid, that’s being down right dopey.

jmonroe"
18,7:53AM,houdini1,"qbrozen said:
show previous quotes

Are these your words or those from a published article?
That whole thing is from Car and Driver.
2013 LX 570 2016 LS 460"
19,8:02AM,driver100,"houdini1 said:
show previous quotes

That whole thing is from Car and Driver.
I agree with ab on this phenomenon. Usually reviewers give a new car a very positive write up. Not sure what their motivation is, maybe so they will be at the top of the list when another new model comes out, maybe to secure their ability to get new models to test, maybe they want new launches to be successful. Maybe there is an initial thrill factor of trying out a new model. I have heard positive reviews for new cars going back to the 60s, and I always take them with a bit of skepticism.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
20,8:58AM,qbrozen,"houdini1 said:
show previous quotes

That whole thing is from Car and Driver.
Just making sure because you put quotes on the 2nd post, but not the first. I was going to ask you when you drove a Bentayga.
'07 ML63, '08 Charger R/T Daytona; '67 Coronet R/T; '14 Town&Country Limited; '18 BMW X2. 52-car history and counting!"
21,Oct-25,bwia,"abacomike said:
show previous quotes

I don’t like those pop-up screens like the one shown above on the new Genesis. It is not recessed to avoid sunlight distortion. It is also very small.

I noticed that they did away with the gear selector in the console making more room for console storage, much like Mercedes and many other makes and models. Everything is electronic when it comes to gear selection anyway.

My best friend is interested in replacing his 2008 Infinity M35X with a G80 lease. I will go with him when he is ready. But I know he won’t like the narrow height on the GPS screen.
You may be right but according to C&D, ""at a time when many carmakers are replacing switches and buttons with vast touch-sensitive black panels, Genesis uses silver-tone knurled knobs and select physical buttons with white accents, creating a light, bright space. The large rotary dial that controls the infotainment system lives in the center console and clicks with satisfying precision as it turns."" The collage bellow shows an example of this. Enjoy!"
22,Oct-25,fintail,"I don't like the tablet/pop up look either. To me it screams ""suddenly it's 2010!"" and isn't a cohesive design. MB doesn't do everything right (had plenty of tablet designs too), but the integrated seamless screen optional on E-class from 2017+ (standard for 2020+) is the best design in the industry IMO.

Same for the column shift. It irks some people, but quickly becomes muscle memory, and just looks right. Really makes the car feel more open, and removes the false pretense of sport with a floor shift (especially those with a boot), this might be a relatively fast car, but it isn't a sports car, let's stop pretending.
abacomike said:

I don’t like those pop-up screens like the one shown above on the new Genesis. It is not recessed to avoid sunlight distortion. It is also very small.

I noticed that they did away with the gear selector in the console making more room for console storage, much like Mercedes and many other makes and models. Everything is electronic when it comes to gear selection anyway.

My best friend is interested in replacing his 2008 Infinity M35X with a G80 lease. I will go with him when he is ready. But I know he won’t like the narrow height on the GPS screen."
23,Oct-25,fintail,"Hmmm...if you insist?



I swear I've seen a similar steering wheel hub, either an old Ford or Mopar, I think.
bwia said:
Meet the 2021 Genesis GV80. It may not carry the price tag of a Bentley Bentayga but the interior design and sophistication of the GV80 is equal to or surpasses the Bentayga. Enjoy!"
24,Oct-25,qbrozen,"bwia said:
Meet the 2021 Genesis GV80. It may not carry the price tag of a Bentley Bentayga but the interior design and sophistication of the GV80 is equal to or surpasses the Bentayga.
Are these your words or those from a published article?
'07 ML63, '08 Charger R/T Daytona; '67 Coronet R/T; '14 Town&Country Limited; '18 BMW X2. 52-car history and counting!"
25,Oct-25,driver100,"New Genesis GV80 is pretty nice, but Mercedes seems to have leapt ahead with the 2021 S Class:

...even if the GV80 has silvery buttons with white accents!
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
26,Oct-25,sda,"What happened to just the joy of driving? All this high tech stuff, though impressive, robs the driving experience, at least to me.
2018 VW Passat w/tech, 2015 Audi Q5 Premium Plus w/tech, 2006 Acura TL w/nav"
27,Oct-25,oldfarmer50,"sda said:
What happened to just the joy of driving? All this high tech stuff, though impressive, robs the driving experience, at least to me.
I agree. Modern cars seem to be 50% video game but I guess that the demographic they’re going for.
2019 Kia Soul+, 2015 Mustang GT, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
28,Oct-25,abacomike,"driver100 said:
New Genesis GV80 is pretty nice, but Mercedes seems to have leapt ahead with the 2021 S Class:

...even if the GV80 has silvery buttons with white accents!
I don’t like the new dash in the 2021 S Class with its up-sloping console which culminates in the GPS screen. Much too confining for the driver and front passenger.
2020 Mercedes E450 4MATIC Sedan"
29,Oct-25,snakeweasel,"bwia said:
show previous quotes





You may be right but according to C&D, ""at a time when many carmakers are replacing switches and buttons with vast touch-sensitive black panels, Genesis uses silver-tone knurled knobs and select physical buttons with white accents, creating a light, bright space. The large rotary dial that controls the infotainment system lives in the center console and clicks with satisfying precision as it turns."" The collage bellow shows an example of this. Enjoy!
If any of you ever watched Star Trek Voyager this reminds me of the episode where they built a bigger, faster, better shuttle craft. The guy building it made all the controls knobs, levers, switches and buttons instead of using the touchscreens found all over the Star Trek universe. When someone questioned him about it he said ""I want to feel the ship, I'm sick of punching panels"".
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
30,Oct-25,snakeweasel,"Question for those who care. I finally got the Sebring into the mechanic who said it would be $825 to fix it up. This includes replacing the part that's leaking, replacing the thermostat, flushing the system and replacing the battery as they said testing it it was not fully holding the charge (it's around 5 years old or so). Add to this the fact that I have to renew the registration by the end of the month which is going to be about $145, Thank you governor [non permissible content removed] so we are looking at nearly a grand to get back on the road.

On the other hand I have an offer of $400 for it as is.

So its a 13 year old Chrysler with 143K miles and some issues and I am thinking of cutting my losses and taking the $400, but it could last a few more years and with winter coming soon it would still be a good beater car for the snow and stuff that's coming.

What say all of you?
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
31,Oct-25,abacomike,"snakeweasel said:
Question for those who care. I finally got the Sebring into the mechanic who said it would be $825 to fix it up. This includes replacing the part that's leaking, replacing the thermostat, flushing the system and replacing the battery as they said testing it it was not fully holding the charge (it's around 5 years old or so). Add to this the fact that I have to renew the registration by the end of the month which is going to be about $145, Thank you governor [non permissible content removed] so we are looking at nearly a grand to get back on the road.

On the other hand I have an offer of $400 for it as is.

So its a 13 year old Chrysler with 143K miles and some issues and I am thinking of cutting my losses and taking the $400, but it could last a few more years and with winter coming soon it would still be a good beater car for the snow and stuff that's coming.

What say all of you?
I have no opinion one way or the other. At times like this, I just flip a coin! 😜
2020 Mercedes E450 4MATIC Sedan"
32,Oct-25,driver100,"abacomike said:
show previous quotes



I don’t like the new dash in the 2021 S Class with its up-sloping console which culminates in the GPS screen. Much too confining for the driver and front passenger.
I kind of agree. It is too bad they couldn't actually build that screen into the instrument panel, even if they made the screen a bit smaller. It almost looks like a clip board leaning up against a smooth instrument panel behind it. There should be enough leg room I would think, it is a wide console but it is a pretty big car.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
33,Oct-25,snakeweasel,"abacomike said:
show previous quotes






I have no opinion one way or the other. At times like this, I just flip a coin! 😜
Any other suggestions?


2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
34,Oct-25,driver100,"

A good case either way. I am more of the opinion that you got your use out of the car, and getting $400 out of it now would be a nice bonus.....you can buy a nice dinner for Mrs Snake. Putting $1000 into it isn't too bad, but if there is another fairly major repair, and there probably will be, then you will be behind. No when to hold 'em, and know when to fold 'em I always say.

2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
35,Oct-25,driver100,"sda said:
What happened to just the joy of driving? All this high tech stuff, though impressive, robs the driving experience, at least to me.
Not sure about robs the driving experience....but it is different. I like the C250 because of its simplicity, start it up, put it in gear, and it works like cars have for 40 or 50 years. Not even a rear view camera.
But the newer cars are more like flying a new plane, digital instruments, all the comfort options, fast, smooth, with lots of extra features like GPS, BLIS etc.
I like having one of each, but if I could only choose one I'd take the newer one with all the extras.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
36,Oct-25,fintail,"I'm not in love with that design either. Weird jutting tablet for the gauges, weird Tesla-wannabe screen in the middle. MB seems to be moving on from designs I like, which means my latest new purchase may be my last.
driver100 said:
New Genesis GV80 is pretty nice, but Mercedes seems to have leapt ahead with the 2021 S Class:"
37,Oct-25,ab348,"bwia said:

You may be right but according to C&D, ""at a time when many carmakers are replacing switches and buttons with vast touch-sensitive black panels, Genesis uses silver-tone knurled knobs and select physical buttons with white accents, creating a light, bright space. The large rotary dial that controls the infotainment system lives in the center console and clicks with satisfying precision as it turns.""
Surely we have learned by now to discount the introductory articles about any new model that run in the car magazines, as they are almost always ridiculously positive and enthusiastic.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
38,Oct-25,ab348,"snakeweasel said:

On the other hand I have an offer of $400 for it as is.

So its a 13 year old Chrysler with 143K miles and some issues and I am thinking of cutting my losses and taking the $400, but it could last a few more years and with winter coming soon it would still be a good beater car for the snow and stuff that's coming.

What say all of you?
I guess the question is really one of do you want a beater convertible for summer days or not? Would you be confident taking it out on a nice summer day (or for that matter, in a snowstorm) or would you be in fear of it stranding you? The money really isn't much either way, and if you replaced it with another beater then you would still have a cash outlay.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
39,Oct-25,abacomike,"driver100 said:
show previous quotes

Not sure about robs the driving experience....but it is different. I like the C250 because of its simplicity, start it up, put it in gear, and it works like cars have for 40 or 50 years. Not even a rear view camera.
But the newer cars are more like flying a new plane, digital instruments, all the comfort options, fast, smooth, with lots of extra features like GPS, BLIS etc.
I like having one of each, but if I could only choose one I'd take the newer one with all the extras.
Your C250 doesn’t have a rear view camera? How come? Never knew that! 😜🤓😝
2020 Mercedes E450 4MATIC Sedan"
40,Oct-25,oldfarmer50,"snakeweasel said:
Question for those who care. I finally got the Sebring into the mechanic who said it would be $825 to fix it up. This includes replacing the part that's leaking, replacing the thermostat, flushing the system and replacing the battery as they said testing it it was not fully holding the charge (it's around 5 years old or so). Add to this the fact that I have to renew the registration by the end of the month which is going to be about $145, Thank you governor [non permissible content removed] so we are looking at nearly a grand to get back on the road.

On the other hand I have an offer of $400 for it as is.

So its a 13 year old Chrysler with 143K miles and some issues and I am thinking of cutting my losses and taking the $400, but it could last a few more years and with winter coming soon it would still be a good beater car for the snow and stuff that's coming.

What say all of you?
Well, the Sonata is old enough to take over winter beater duty and the prime function of the Sebring doesn’t work and can be taken over by your other convertible I’d say send it down the road. Getting 143k out of a Chrysler is a cause for celebration.
2019 Kia Soul+, 2015 Mustang GT, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
41,Oct-25,garrison16,"Snake, I have been a lurker for several years but logged in to respond to your situation. I also had a 2008 Chrysler Sebring Convertible. I was the second owner. I bought it CPO when it was about 3 years old with about 21000 miles. It was a touring model with 2.7 6cyl with leather interior. The maintenances were starting to get expensive. Like with you it was an extra car. What I thought it might need was about what I thought the car was worth. Dealer would have given me $1700 plus tax savings on a trade. I sold it for $1500 last January. It had 120,000 miles. From what I understand it may have needed repairs that I was not aware of as I sold it to a friend of a friend. In case this helps with the decision you are about to make"
42,Oct-25,tjc78,"TJC’s public service announcement...
Don’t move. Stay in your current home.

Carry on...
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
43,Oct-25,sda,"tjc78 said:
TJC’s public service announcement...
Don’t move. Stay in your current home.

Carry on...
That doesn’t sound good.
2018 VW Passat w/tech, 2015 Audi Q5 Premium Plus w/tech, 2006 Acura TL w/nav"
44,Oct-25,28firefighter,"tjc78 said:
TJC’s public service announcement...
Don’t move. Stay in your current home.

Carry on...
Yikes lol
2019 Subaru Outback 3.6R Limited, 2019 BMW i3 REX, 2004 BMW 330i ZHP 6MT"
45,Oct-25,ab348,"Ruh-roh.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
46,Oct-25,stickguy,"Sounds ominous. But even when nothing goes really wrong, it is still a bunch of headaches.
2020 Acura RDX tech SH-AWD"
47,Oct-25,stickguy,"Snake, the question to me is, do you really need the extra car? I assume the only real purpose is to keep the BMW in the garage when the roads are crappy? If so, and you would have to replace it, might as well fix it up and let it take the abuse. If you would not replace it anyway, might as well dump it, get some cash, free up garage or driveway space, and lower insurance.

Plus since the top doesn't work, of no real use in the nice weather (plus you have a nice convertible).
2020 Acura RDX tech SH-AWD"
48,Oct-25,abacomike,"Just spoke with my son who lives in the Coachella Valley in the Palm Springs area of California. My grandson told me that my son was suffering from migraines the past few weeks when I called him last week.

As you all know, he had an inoperable malignant brain tumor in the rear of his cerebrum about 5-6 years ago. He underwent proton radiation at Loma Linda Medical Center near Riverside and after 6-8 months of heavy doses, the tumor disappeared.

When we spoke today, he was very guarded about discussing his health with me. He said he doesn’t want people to feel sorry for him or pity him. He had tests done and said he is waiting for results.

All I can say at this time is that I am very scared that the cancer has returned. I hope he levels with me when he gets the results. If it is cancer, I will fly out there immediately. I am praying that God will watch over him and see to it that he is well. 😔
2020 Mercedes E450 4MATIC Sedan"
49,Oct-25,jmonroe1,"oldfarmer50 said:
show previous quotes






Well, the Sonata is old enough to take over winter beater duty and the prime function of the Sebring doesn’t work and can be taken over by your other convertible I’d say send it down the road. Getting 143k out of a Chrysler is a cause for celebration.
Yeah what you said. Any Chrysler that has 143K miles on it has been on borrowed time for 142K miles.

jmonroe"
50,Oct-25,venture,"abacomike said:
Just spoke with my son who lives in the Coachella Valley in the Palm Springs area of California. My grandson told me that my son was suffering from migraines the past few weeks when I called him last week.

As you all know, he had an inoperable malignant brain tumor in the rear of his cerebrum about 5-6 years ago. He underwent proton radiation at Loma Linda Medical Center near Riverside and after 6-8 months of heavy doses, the tumor disappeared.

When we spoke today, he was very guarded about discussing his health with me. He said he doesn’t want people to feel sorry for him or pity him. He had tests done and said he is waiting for results.

All I can say at this time is that I am very scared that the cancer has returned. I hope he levels with me when he gets the results. If it is cancer, I will fly out there immediately. I am praying that God will watch over him and see to it that he is well. 😔
Praying for positive results Mike.
2020 Ascent Limited, 2020 Legacy Touring XT"
51,Oct-25,jmonroe1,"abacomike said:
Just spoke with my son who lives in the Coachella Valley in the Palm Springs area of California. My grandson told me that my son was suffering from migraines the past few weeks when I called him last week.

As you all know, he had an inoperable malignant brain tumor in the rear of his cerebrum about 5-6 years ago. He underwent proton radiation at Loma Linda Medical Center near Riverside and after 6-8 months of heavy doses, the tumor disappeared.

When we spoke today, he was very guarded about discussing his health with me. He said he doesn’t want people to feel sorry for him or pity him. He had tests done and said he is waiting for results.

All I can say at this time is that I am very scared that the cancer has returned. I hope he levels with me when he gets the results. If it is cancer, I will fly out there immediately. I am praying that God will watch over him and see to it that he is well. 😔
We’re all praying that he’ll be OK.

jmonroe"
52,Oct-25,sda,"abacomike said:
Just spoke with my son who lives in the Coachella Valley in the Palm Springs area of California. My grandson told me that my son was suffering from migraines the past few weeks when I called him last week.

As you all know, he had an inoperable malignant brain tumor in the rear of his cerebrum about 5-6 years ago. He underwent proton radiation at Loma Linda Medical Center near Riverside and after 6-8 months of heavy doses, the tumor disappeared.

When we spoke today, he was very guarded about discussing his health with me. He said he doesn’t want people to feel sorry for him or pity him. He had tests done and said he is waiting for results.

All I can say at this time is that I am very scared that the cancer has returned. I hope he levels with me when he gets the results. If it is cancer, I will fly out there immediately. I am praying that God will watch over him and see to it that he is well. 😔
So sorry to learn. I hope he has a quick recovery from whatever is affecting him.
2018 VW Passat w/tech, 2015 Audi Q5 Premium Plus w/tech, 2006 Acura TL w/nav"
53,Oct-25,venture,"driver100 said:
show previous quotes



I kind of agree. It is too bad they couldn't actually build that screen into the instrument panel, even if they made the screen a bit smaller. It almost looks like a clip board leaning up against a smooth instrument panel behind it. There should be enough leg room I would think, it is a wide console but it is a pretty big car.

2020 Ascent Limited, 2020 Legacy Touring XT"
54,Oct-25,snakeweasel,"garrison16 said:
Snake, I have been a lurker for several years but logged in to respond to your situation. I also had a 2008 Chrysler Sebring Convertible. I was the second owner. I bought it CPO when it was about 3 years old with about 21000 miles. It was a touring model with 2.7 6cyl with leather interior. The maintenances were starting to get expensive. Like with you it was an extra car. What I thought it might need was about what I thought the car was worth. Dealer would have given me $1700 plus tax savings on a trade. I sold it for $1500 last January. It had 120,000 miles. From what I understand it may have needed repairs that I was not aware of as I sold it to a friend of a friend. In case this helps with the decision you are about to make
Thank you for your input. Plus stop lurking and become active here, we are a good group and very welcoming so post here often.
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
55,Oct-25,omarman,"I am praying that God will watch over him and see to it that he is well. 😔

Hoping your son gets well soon Mike. My nephew came over for a visit last night and we were up til 3AM just talking, laughing, and sorting through all the family ups and downs over this year. (So far.) By the time he left we were both feeling better even though we're staying the same course as always: Power of prayer!
A time to embrace, and a time to refrain from embracing."
56,Oct-25,snakeweasel,"stickguy said:
Snake, the question to me is, do you really need the extra car? I assume the only real purpose is to keep the BMW in the garage when the roads are crappy? If so, and you would have to replace it, might as well fix it up and let it take the abuse. If you would not replace it anyway, might as well dump it, get some cash, free up garage or driveway space, and lower insurance.

Plus since the top doesn't work, of no real use in the nice weather (plus you have a nice convertible).
We really don't need the extra car and your presumption is correct but we wouldn't be replacing it should we dump it.

As for nice weather, yes we have a real nice convertible plus the bike
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
57,Oct-25,tjc78,"jmonroe1 said:
show previous quotes






We’re all praying that he’ll be OK.

jmonroe
+1. Mike we are praying for you and your family.
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
58,Oct-25,tjc78,"stickguy said:
Snake, the question to me is, do you really need the extra car? I assume the only real purpose is to keep the BMW in the garage when the roads are crappy? If so, and you would have to replace it, might as well fix it up and let it take the abuse. If you would not replace it anyway, might as well dump it, get some cash, free up garage or driveway space, and lower insurance.

Plus since the top doesn't work, of no real use in the nice weather (plus you have a nice convertible).
I think I’d take the $400 and say it’s been a good run!
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
59,Oct-25,snakeweasel,"abacomike said:
Just spoke with my son who lives in the Coachella Valley in the Palm Springs area of California. My grandson told me that my son was suffering from migraines the past few weeks when I called him last week.

As you all know, he had an inoperable malignant brain tumor in the rear of his cerebrum about 5-6 years ago. He underwent proton radiation at Loma Linda Medical Center near Riverside and after 6-8 months of heavy doses, the tumor disappeared.

When we spoke today, he was very guarded about discussing his health with me. He said he doesn’t want people to feel sorry for him or pity him. He had tests done and said he is waiting for results.

All I can say at this time is that I am very scared that the cancer has returned. I hope he levels with me when he gets the results. If it is cancer, I will fly out there immediately. I am praying that God will watch over him and see to it that he is well. 😔
Hoping all is OK
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2014 BMW 428i convertible, 2015 Honda CTX700D"
60,Oct-25,tjc78,"The
stickguy said:
Sounds ominous. But even when nothing goes really wrong, it is still a bunch of headaches.
I’m just tired... lol. Last weekend before settlement.

We spent a good bit of it taking the stuff down from the attic and the last bit of packing. At least the attic wasn’t bad and 90% of it just got piled to go on the moving truck.

Wife and I went shopping for some stuff today and did ok. Have a good story from the furniture store I’ll share later. Since we really have no kitchen left bought $200 of prepared stuff from Wegmans. That place was a total zoo as usual.
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
61,Oct-25,stickguy,"Wegmans makes a great deli sandwich. But not convenient for us to shop at. And the shopping center is horrible to deal with (and probably getting worse now that Costco is open in there).
2020 Acura RDX tech SH-AWD"
62,Oct-25,stickguy,"stuff, drags you down. I just assume now that my kids will just need to rent some big dumpsters some day to deal with it. I am happy that we finally got a few boxes off for shredding, but that is a slow process. I did go through one file today (old insurance papers) so got to reminisce over the last 15 years of various companies. It was interesting to see how much less I pay now. Even a year in the Mid-00's when we had 2 cars and no kids driving, I paid about 50% more than we pay now for 2 cars (before I turned one in). About the only think in Jersey that costs less than it used to!
2020 Acura RDX tech SH-AWD"
63,Oct-25,tjc78,"stickguy said:
Wegmans makes a great deli sandwich. But not convenient for us to shop at. And the shopping center is horrible to deal with (and probably getting worse now that Costco is open in there).
I had to pickup an order at Crate and Barrel so I was up that way. Otherwise, it’s not convenient at all and will be less so once I move.
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
64,Oct-25,tjc78,"stickguy said:
stuff, drags you down. I just assume now that my kids will just need to rent some big dumpsters some day to deal with it. I am happy that we finally got a few boxes off for shredding, but that is a slow process. I did go through one file today (old insurance papers) so got to reminisce over the last 15 years of various companies. It was interesting to see how much less I pay now. Even a year in the Mid-00's when we had 2 cars and no kids driving, I paid about 50% more than we pay now for 2 cars (before I turned one in). About the only think in Jersey that costs less than it used to!
My car insurance is far less than it used to be. It went down considerably moving Gloucester county.

I burned three giant totes of paperwork a few weeks back.
2017 Buick Enclave / 2019 Volvo S60 T6 Inscription"
